version,model,input_features,sequence_shape,epochs,batch_size,oof_macro_f1,oof_macro_pr_auc,test_accuracy,test_balanced_accuracy,test_macro_f1,test_macro_pr_auc,test_macro_roc_auc,retained_f1,weakened_f1,stopped_f1,retained_recall,weakened_recall,stopped_recall,top20_precision,top20_recall,top20_lift,test_macro_f1_seed_std
v05_01_dl,Core43 MLP,Core43 aggregate features,none,50,512,0.559744226972608,0.5832470379536395,0.6061533751722027,0.5520107813287324,0.5619361961153971,0.5844849399030393,0.7587853444376772,0.621834432858055,0.6380712912291081,0.4259028642590286,0.5654024767801857,0.7037520391517129,0.38687782805429866,0.8806426931905126,0.29146619397315776,1.4568849619178574,0.002085210991325549
v05_02_dl,Extended81 MLP,Core43 + category14 + spatial12 + rating12,none,50,512,0.5580789881092468,0.5773022161123326,0.6001836828409612,0.5522244058212674,0.5594471292098168,0.5802194633898057,0.7558293273154609,0.6200928661882651,0.6287344242606215,0.4295140971805639,0.5684984520123839,0.6831973898858075,0.40497737556561086,0.8775822494261668,0.290453279311218,1.4518219385923392,0.00034575424734741803
v05_03_dl,Core43 MLP + Monthly24 GRU,Core43 aggregate features + monthly sequence,24 months x 3 channels,30,2048,0.569473111971838,0.5938621842099321,0.6154905862544008,0.5577183988626723,0.5680578674626179,0.5951044626763676,0.7705057519681668,0.6302794022092267,0.6504088785046729,0.42348532167395375,0.5630804953560371,0.7265905383360522,0.3834841628959276,0.8837031369548585,0.2924791086350975,1.4619479852433757,0.00144886525675484
