version,top_k_percent,selected_users,captured_risk_users,precision,recall,lift,stopped_captured,stopped_recall,weakened_captured,weakened_recall
v05_01_dl,10,654,597,0.9128440366972477,0.15117751329450493,1.5101570250045884,299,0.3382352941176471,298,0.09722675367047308
v05_01_dl,20,1307,1151,0.8806426931905126,0.29146619397315776,1.4568849619178574,486,0.5497737556561086,665,0.2169657422512235
v05_01_dl,30,1960,1671,0.8525510204081632,0.42314510002532285,1.410411703298691,610,0.6900452488687783,1061,0.3461663947797716
v05_02_dl,10,654,594,0.908256880733945,0.15041782729805014,1.502568296235721,295,0.333710407239819,299,0.09755301794453507
v05_02_dl,20,1307,1147,0.8775822494261668,0.290453279311218,1.4518219385923392,475,0.5373303167420814,672,0.21924959216965742
v05_02_dl,30,1960,1671,0.8525510204081632,0.42314510002532285,1.410411703298691,611,0.6911764705882353,1060,0.3458401305057096
v05_03_dl,10,654,601,0.918960244648318,0.15219042795644466,1.5202753300297447,296,0.334841628959276,305,0.09951060358890701
v05_03_dl,20,1307,1155,0.8837031369548585,0.2924791086350975,1.4619479852433757,476,0.5384615384615384,679,0.22153344208809136
v05_03_dl,30,1960,1701,0.8678571428571429,0.43074195998987086,1.4357332778641971,623,0.7047511312217195,1078,0.35171288743882545
