candidate,top_k_percent,target_users,captured_risk_users,precision,recall,lift,stopped_captured,stopped_recall,weakened_captured,weakened_recall
v04_ml,10,654,600,0.9174311926605505,0.15193719929095972,1.5177457537734558,297,0.33597285067873306,303,0.09885807504078303
v05_03_dl,10,654,601,0.918960244648318,0.15219042795644466,1.5202753300297447,296,0.334841628959276,305,0.09951060358890701
v04_ml,20,1307,1142,0.8737566947207345,0.28918713598379336,1.4454931594354414,481,0.5441176470588235,661,0.21566068515497552
v05_03_dl,20,1307,1155,0.8837031369548585,0.2924791086350975,1.4619479852433757,476,0.5384615384615384,679,0.22153344208809136
v04_ml,30,1960,1659,0.8464285714285714,0.4201063560395037,1.4002830734724885,605,0.6843891402714932,1054,0.3438825448613377
v05_03_dl,30,1960,1701,0.8678571428571429,0.43074195998987086,1.4357332778641971,623,0.7047511312217195,1078,0.35171288743882545
