candidate,inputs,macro_f1,macro_pr_auc,balanced_accuracy,retained_recall,weakened_recall,stopped_recall,top20_precision,top20_recall,top20_lift
v04_ml,Core43,0.5520979094648035,0.5792363193087259,0.5648587612654351,0.5893962848297214,0.5836867862969005,0.5214932126696833,0.8737566947207345,0.28918713598379336,1.4454931594354414
v05_01_dl,Core43,0.5619361961153971,0.5844849399030393,0.5520107813287324,0.5654024767801857,0.7037520391517129,0.38687782805429866,0.8806426931905126,0.29146619397315776,1.4568849619178574
v05_02_dl,Extended81,0.5594471292098168,0.5802194633898057,0.5522244058212674,0.5684984520123839,0.6831973898858075,0.40497737556561086,0.8775822494261668,0.290453279311218,1.4518219385923392
v05_03_dl,Core43+Monthly24,0.5680578674626179,0.5951044626763676,0.5577183988626723,0.5630804953560371,0.7265905383360522,0.3834841628959276,0.8837031369548585,0.2924791086350975,1.4619479852433757
