selection_rank,weakened_threshold,stopped_threshold,seed_macro_f1_mean,seed_macro_f1_std,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,selected
1,0.42,0.35,0.5687299084180232,0.0005251419145018783,0.6072532119043746,0.5616730038718856,0.5876869846995543,0.5616730038718856,0.569473111971838,0.6063495537014332,0.5938621842099321,0.7717442264461175,0.7290428625616386,0.5873484771315066,0.6505697844973485,9817,0.7610985928558271,0.5702276446957298,0.6931006420110317,0.6256887473980653,11059,0.6047626537858262,0.4637904468412943,0.40456989247311825,0.4321608040201005,3720,0.41572530598814295,True
2,0.36,0.35,0.5598786062608362,0.0005897501452105419,0.5991624654415352,0.5526356395151958,0.5971748887603259,0.5526356395151958,0.5600441997545588,0.5955681343206936,0.5938621842099321,0.7717442264461175,0.7744700748129676,0.5061627788530101,0.6122096962976652,9817,0.7610985928558271,0.5532641446267158,0.7471742472194592,0.6357620989459106,11059,0.6047626537858262,0.4637904468412943,0.40456989247311825,0.4321608040201005,3720,0.41572530598814295,False
3,0.3,0.35,0.5435518715033744,0.0017619725671604095,0.5868027321515693,0.5405173255558016,0.6069701209950714,0.5405173255558016,0.5445977191638377,0.577292298098447,0.5938621842099321,0.7717442264461175,0.8189806678383128,0.42721809106651726,0.5615209532735306,9817,0.7610985928558271,0.5381392483056069,0.7897639931277692,0.6401114001978819,11059,0.6047626537858262,0.4637904468412943,0.40456989247311825,0.4321608040201005,3720,0.41572530598814295,False
4,0.42,0.45,0.5422622220255777,0.0010821429775852373,0.6123759960969263,0.530457740657994,0.601369386002981,0.530457740657994,0.5429652822798979,0.6002391663134172,0.5938621842099321,0.7717442264461175,0.7279495268138801,0.5876540694713253,0.6503212715590125,9817,0.7610985928558271,0.5627057163968563,0.7574825933628718,0.645725738071379,11059,0.6047626537858262,0.5134529147982063,0.24623655913978496,0.3328488372093023,3720,0.41572530598814295,False
5,0.36,0.45,0.5330603159818685,0.0014908245796769505,0.6044885347210929,0.5215634564334029,0.6119360298535258,0.5215634564334029,0.5331583003015476,0.5889309113515313,0.5938621842099321,0.7717442264461175,0.7745052205080255,0.5062646429662829,0.6122951829493656,9817,0.7610985928558271,0.5478499542543458,0.8121891671941405,0.6543308807459751,11059,0.6047626537858262,0.5134529147982063,0.24623655913978496,0.3328488372093023,3720,0.41572530598814295,False
6,0.3,0.45,0.5163699375752969,0.0016634760227169437,0.5920881444137258,0.5094111877695843,0.6222576924316067,0.5094111877695843,0.5173232634942776,0.5701352769842598,0.5938621842099321,0.7717442264461175,0.8189806678383128,0.42721809106651726,0.5615209532735306,9817,0.7610985928558271,0.5343394946583009,0.8547789131024505,0.6576,11059,0.6047626537858262,0.5134529147982063,0.24623655913978496,0.3328488372093023,3720,0.41572530598814295,False
7,0.42,0.55,0.4903100549143922,0.002895007418636146,0.6045698487558953,0.4943201741506529,0.6046390436194292,0.4943201741506529,0.49067353205906095,0.5753671895549092,0.5938621842099321,0.7717442264461175,0.6919035108669692,0.5902006723031477,0.6370183057555934,9817,0.7610985928558271,0.5593395252837977,0.7841576996111764,0.6529382976320446,11059,0.6047626537858262,0.5626740947075209,0.1086021505376344,0.18206399278954483,3720,0.41572530598814295,False
8,0.36,0.55,0.4863773060486322,0.002188306933201282,0.6034721092860628,0.4903717906928653,0.62637776061183,0.4903717906928653,0.486134651117218,0.5704921983465201,0.5938621842099321,0.7717442264461175,0.7740931029114121,0.5064683711928287,0.6123152709359606,9817,0.7610985928558271,0.5423660842165569,0.8560448503481327,0.6640246896261486,11059,0.6047626537858262,0.5626740947075209,0.1086021505376344,0.18206399278954483,3720,0.41572530598814295,False
9,0.3,0.55,0.4694941395933157,0.0021091114268200995,0.5910717189786957,0.47821189534618297,0.6371967510986511,0.47821189534618297,0.47011368338941795,0.5514467802391659,0.5938621842099321,0.7717442264461175,0.8189806678383128,0.42721809106651726,0.5615209532735306,9817,0.7610985928558271,0.5299354907501199,0.8988154444343973,0.6667561041051784,11059,0.6047626537858262,0.5626740947075209,0.1086021505376344,0.18206399278954483,3720,0.41572530598814295,False
