selection_rank,candidate_id,learning_rate,max_depth,n_estimators,weakened_threshold,stopped_threshold,validation_samples,fold_macro_pr_auc_mean,fold_macro_pr_auc_std,fold_macro_roc_auc_mean,maximum_iterations,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_retained_roc_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_weakened_roc_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,oof_stopped_roc_auc,selected
1,xgboost_learning_rate_0.005_max_depth_3_n_estimators_2000,0.005,3,2000,0.42,0.35,24596,0.5902477629299525,0.011604977030317511,0.7680238078997552,0,0.6053016750691169,0.5586510683689773,0.5864522394452168,0.5586510683689773,0.5668608490076383,0.6038505673191918,0.5906218595717038,0.769050435124945,0.7242212333121424,0.580217989202404,0.6442710100667345,9817,0.7557426975720481,0.8096917552231618,0.568929889298893,0.6970793019260331,0.6265187533016376,11059,0.6011662831611141,0.6880250397708683,0.4662055957246149,0.39865591397849465,0.4297927836545428,3720,0.4149565979819489,0.8094345103808046,True
2,xgboost_learning_rate_0.05_max_depth_3_n_estimators_500,0.05,3,500,0.42,0.35,24596,0.5838017022749078,0.013133423311344997,0.764201727054004,0,0.6011953163115954,0.5559316398876112,0.5797644654458803,0.5559316398876112,0.5632730766515122,0.600266749989538,0.5841930339858455,0.7653467647908389,0.7161539419603936,0.5857186513191402,0.6444021069147148,9817,0.7525891939439296,0.8074089624553168,0.567478208596333,0.6828827199565964,0.6198547215496368,11059,0.5946695519979309,0.6829112659671043,0.4556612457809144,0.39919354838709675,0.4255624014901848,3720,0.4053203560156762,0.8057200659500955,False
3,xgboost_learning_rate_0.005_max_depth_3_n_estimators_1000,0.005,3,1000,0.42,0.35,24596,0.5903085411077817,0.009733900518105663,0.7676784933529054,0,0.6047731338429013,0.5534318916711995,0.5868425458330794,0.5534318916711995,0.5630905248134565,0.6022206227663357,0.5905076408423882,0.7684751024237101,0.7246896198643287,0.5767546093511255,0.6423142370958593,9817,0.754279408481624,0.8087186320959849,0.5661157024793388,0.7061217108237634,0.6284150806743652,11059,0.6008734325276026,0.688051214461912,0.46972231515557045,0.3774193548387097,0.4185422566701446,3720,0.4163700815179378,0.8086554607132336,False
4,xgboost_learning_rate_0.05_max_depth_3_n_estimators_1000,0.05,3,1000,0.42,0.35,24596,0.5758151567050411,0.013561812703339953,0.7585641535438825,0,0.5979020979020979,0.5531311390042798,0.5749010240487228,0.5531311390042798,0.5600315650954794,0.59705363926978,0.5758669422222936,0.7596684570954193,0.7077093051804567,0.5872466130182337,0.6418749652062573,9817,0.74695439547077,0.8028733385747047,0.5667957773220931,0.6748349760376164,0.616114917856848,11059,0.5855799142694605,0.6754708770808654,0.4501979896436186,0.39731182795698927,0.42210481222333285,3720,0.39506651692665035,0.8006611556306877,False
5,xgboost_learning_rate_0.005_max_depth_6_n_estimators_2000,0.005,6,2000,0.42,0.35,24596,0.5787886940031928,0.015636630083830923,0.7612116280183108,0,0.598715238250122,0.5518089414779118,0.5770663409835932,0.5518089414779118,0.5596316087983428,0.5973851437487047,0.5788071213558023,0.7623933371909496,0.7118180688455324,0.5834776408271366,0.6412897447380206,9817,0.7496412410981267,0.8050903976631204,0.5650351743750935,0.6827018717786418,0.6183202981040907,11059,0.5866165431674691,0.6791038320168514,0.4543457797301538,0.38924731182795697,0.4192847835529173,3720,0.40016357980181094,0.802985781892877,False
6,xgboost_learning_rate_0.005_max_depth_6_n_estimators_1000,0.005,6,1000,0.42,0.35,24596,0.5828798177423018,0.014325491150844092,0.7639147980587104,0,0.6000162628069605,0.5502340147233864,0.5795412116257124,0.5502340147233864,0.5592025872696842,0.5979352852442205,0.5832118123724772,0.7650242424655939,0.7128428927680798,0.5823571355811348,0.6410270785445983,9817,0.7527270546232427,0.8073428910438658,0.5643432626210363,0.6903879193417126,0.6210346510492923,11059,0.5921900390390474,0.6827166774958036,0.461437479488021,0.3779569892473118,0.41554603221516184,3720,0.40471834345514146,0.8050131588571123,False
7,xgboost_learning_rate_0.005_max_depth_3_n_estimators_2000,0.005,3,2000,0.36,0.35,24596,0.5902477629299525,0.011604977030317511,0.7680238078997552,0,0.5962351601886485,0.5487415909846265,0.5959278310508217,0.5487415909846265,0.5562384557636324,0.5916111826513561,0.5906218595717038,0.769050435124945,0.7708168120539255,0.49505959050626464,0.6029028656494232,9817,0.7557426975720481,0.8096917552231618,0.5507610853739245,0.7525092684691201,0.6360197179869311,11059,0.6011662831611141,0.6880250397708683,0.4662055957246149,0.39865591397849465,0.4297927836545428,3720,0.4149565979819489,0.8094345103808046,False
8,xgboost_learning_rate_0.05_max_depth_6_n_estimators_500,0.05,6,500,0.42,0.35,24596,0.5688412937273186,0.01586055646547118,0.7538301524975526,0,0.5937550821271752,0.5486806975862107,0.5693696534972462,0.5486806975862107,0.5555981908858326,0.5926919928599281,0.5679880115276837,0.7546875373944225,0.6948908611177741,0.5902006723031477,0.6382814651611126,9817,0.7398765855986889,0.7979862804016803,0.5653142769325342,0.6652500226060223,0.6112241930793836,11059,0.5769252323610388,0.6702159763701154,0.44790382244143034,0.39059139784946234,0.4172889144170017,3720,0.38716221662332373,0.7958603554114722,False
9,xgboost_learning_rate_0.05_max_depth_3_n_estimators_500,0.05,3,500,0.36,0.35,24596,0.5838017022749078,0.013133423311344997,0.764201727054004,0,0.5937957391445764,0.5473685452874743,0.5894824450135809,0.5473685452874743,0.5543838571767719,0.5901937864069148,0.5841930339858455,0.7653467647908389,0.7622205088666153,0.5035143119079148,0.606428659060238,9817,0.7525891939439296,0.8074089624553168,0.550565580393213,0.7393977755674112,0.6311605109798927,11059,0.5946695519979309,0.6829112659671043,0.4556612457809144,0.39919354838709675,0.4255624014901848,3720,0.4053203560156762,0.8057200659500955,False
10,xgboost_learning_rate_0.005_max_depth_6_n_estimators_1000,0.005,6,1000,0.36,0.35,24596,0.5828798177423018,0.014325491150844092,0.7639147980587104,0,0.5959912180842414,0.5444052670789653,0.5916696723972913,0.5444052670789653,0.5530147155381393,0.5912263172518593,0.5832118123724772,0.7650242424655939,0.7625402669121031,0.5063665070795559,0.6085945151811949,9817,0.7527270546232427,0.8073428910438658,0.5510312707917498,0.748892304910028,0.6349035992180613,11059,0.5921900390390474,0.6827166774958036,0.461437479488021,0.3779569892473118,0.41554603221516184,3720,0.40471834345514146,0.8050131588571123,False
