selection_rank,candidate_id,learning_rate,max_depth,n_estimators,weakened_threshold,stopped_threshold,validation_samples,fold_macro_pr_auc_mean,fold_macro_pr_auc_std,fold_macro_roc_auc_mean,maximum_iterations,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_retained_roc_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_weakened_roc_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,oof_stopped_roc_auc,selected
11,xgboost_learning_rate_0.05_max_depth_3_n_estimators_1000,0.05,3,1000,0.36,0.35,24596,0.5758151567050411,0.013561812703339953,0.7585641535438825,0,0.5923727435355343,0.5460460672961597,0.5854968620304645,0.5460460672961597,0.5528131767184431,0.5890758021128277,0.5758669422222936,0.7596684570954193,0.7551917538274974,0.5074870123255577,0.6070427683684659,9817,0.74695439547077,0.8028733385747047,0.5511008426202773,0.7333393616059318,0.6292919495635305,11059,0.5855799142694605,0.6754708770808654,0.4501979896436186,0.39731182795698927,0.42210481222333285,3720,0.39506651692665035,0.8006611556306877,False
12,xgboost_learning_rate_0.005_max_depth_6_n_estimators_2000,0.005,6,2000,0.36,0.35,24596,0.5787886940031928,0.015636630083830923,0.7612116280183108,0,0.5930232558139535,0.5448587981937567,0.5860260122254205,0.5448587981937567,0.5524709219989741,0.5893833182480799,0.5788071213558023,0.7623933371909496,0.7528916929547844,0.5105429357237445,0.6084739589656428,9817,0.7496412410981267,0.8050903976631204,0.5508405639913232,0.7347861470295687,0.629654023478362,11059,0.5866165431674691,0.6791038320168514,0.4543457797301538,0.38924731182795697,0.4192847835529173,3720,0.40016357980181094,0.802985781892877,False
13,xgboost_learning_rate_0.005_max_depth_3_n_estimators_1000,0.005,3,1000,0.36,0.35,24596,0.5903085411077817,0.009733900518105663,0.7676784933529054,0,0.596316474223451,0.5438258144158926,0.5983348979454908,0.5438258144158926,0.552417273180987,0.590010328107788,0.5905076408423882,0.7684751024237101,0.7763542004541032,0.4876235102373434,0.5990114496652693,9817,0.754279408481624,0.8087186320959849,0.5489281782267987,0.766434578171625,0.6396981132075472,11059,0.6008734325276026,0.688051214461912,0.46972231515557045,0.3774193548387097,0.4185422566701446,3720,0.4163700815179378,0.8086554607132336,False
14,xgboost_learning_rate_0.05_max_depth_6_n_estimators_500,0.05,6,500,0.36,0.35,24596,0.5688412937273186,0.01586055646547118,0.7538301524975526,0,0.591315661083103,0.5442448235601107,0.5800926003032564,0.5442448235601107,0.5513717696002857,0.5883828621361509,0.5679880115276837,0.7546875373944225,0.7397478626286046,0.5200162982581237,0.6107189855245843,9817,0.7398765855986889,0.7979862804016803,0.5526261158397343,0.7221267745727462,0.6261074088592709,11059,0.5769252323610388,0.6702159763701154,0.44790382244143034,0.39059139784946234,0.4172889144170017,3720,0.38716221662332373,0.7958603554114722,False
15,xgboost_learning_rate_0.05_max_depth_3_n_estimators_2000,0.05,3,2000,0.42,0.35,24596,0.5658213316797458,0.014750770192212832,0.7500238868919773,0,0.588713611969426,0.544027489017965,0.564200583897334,0.544027489017965,0.5506882422979574,0.5878126560342796,0.5652807034819674,0.7509848421497906,0.6920202507232401,0.5848018742996842,0.633909346877933,9817,0.7381003908938643,0.7961308530449881,0.5601780779858766,0.6599150013563614,0.605970025324864,11059,0.5751801849537987,0.6658501935427529,0.4404034229828851,0.3873655913978495,0.41218535469107553,3720,0.38256153459823883,0.7909734798616305,False
16,xgboost_learning_rate_0.005_max_depth_3_n_estimators_500,0.005,3,500,0.42,0.35,24596,0.5856904151790537,0.006783304047885999,0.7646802691894066,0,0.6051797040169133,0.538039120880413,0.5913761692508551,0.538039120880413,0.5505711172576598,0.5978882644723026,0.585267804220579,0.7650229044065839,0.7268682109671509,0.5657532851176531,0.6362699049146523,9817,0.7491157152482008,0.8053291742025422,0.5606247431154953,0.7400307441902523,0.6379545543126632,11059,0.5952525324518789,0.6851908354073639,0.4866355536699194,0.30833333333333335,0.377488892545664,3720,0.4114351649616571,0.8045487036098457,False
17,xgboost_learning_rate_0.005_max_depth_6_n_estimators_500,0.005,6,500,0.42,0.35,24596,0.5834349791649013,0.012310884477836933,0.7643790716839941,0,0.6031875101642543,0.5377837748974904,0.5849298687792946,0.5377837748974904,0.5499812744276874,0.5967329189518384,0.583511190132353,0.7652371906387266,0.710092879256966,0.584088825506774,0.6409568522244579,9817,0.7514041682352219,0.807358960884863,0.5626283367556468,0.7185098110136541,0.6310856961321579,11059,0.5933902422240781,0.6836289174139101,0.48206839032527105,0.310752688172043,0.37790127492644654,3720,0.4057391599377589,0.804723693617407,False
18,xgboost_learning_rate_0.005_max_depth_10_n_estimators_1000,0.005,10,1000,0.42,0.35,24596,0.5663059821715671,0.016247170479069917,0.7526721472356049,0,0.5913563181005042,0.541940120922343,0.5657329759274049,0.541940120922343,0.5497187770939322,0.5897237906413085,0.5664347295395644,0.7539131093867729,0.6977333011815771,0.5894876235102373,0.6390591353321186,9817,0.7418289460936045,0.7981573003157871,0.5605037554055079,0.6680531693643187,0.6095709570957095,11059,0.5737020577199745,0.6678683333618003,0.43896187119512975,0.3682795698924731,0.4005262388539687,3720,0.38377318480511424,0.7957136944827317,False
19,xgboost_learning_rate_0.005_max_depth_10_n_estimators_2000,0.005,10,2000,0.42,0.35,24596,0.5644426433976386,0.01613727573516359,0.751335396047873,0,0.5901772645958693,0.5417811429479927,0.5632882197681663,0.5417811429479927,0.5489023568680959,0.5889116749531192,0.5640108791970023,0.7522556369682266,0.6965550354099148,0.5911174493226037,0.639519506281684,9817,0.7407113289773133,0.7961397788198503,0.560936424145054,0.6629894203815897,0.6077082469954413,11059,0.5716493504105224,0.6661463513045126,0.43237319974953037,0.3712365591397849,0.3994793173271623,3720,0.3796719582031714,0.7944807807803169,False
20,xgboost_learning_rate_0.05_max_depth_3_n_estimators_2000,0.05,3,2000,0.36,0.35,24596,0.5658213316797458,0.014750770192212832,0.7500238868919773,0,0.5854610505773297,0.5388553207819011,0.5748405194350099,0.5388553207819011,0.545607172681872,0.5824901633941832,0.5652807034819674,0.7509848421497906,0.7370354047304246,0.511052256290109,0.6035851780558229,9817,0.7381003908938643,0.7961308530449881,0.5470827305917201,0.7181481146577449,0.6210509852987175,11059,0.5751801849537987,0.6658501935427529,0.4404034229828851,0.3873655913978495,0.41218535469107553,3720,0.38256153459823883,0.7909734798616305,False
21,xgboost_learning_rate_0.005_max_depth_10_n_estimators_1000,0.005,10,1000,0.36,0.35,24596,0.5663059821715671,0.016247170479069917,0.7526721472356049,0,0.5884696698650187,0.5373633589749195,0.5750126893974148,0.5373633589749195,0.5453712240144549,0.585186252450382,0.5664347295395644,0.7539131093867729,0.7370078740157481,0.5243964551288581,0.6127841923580526,9817,0.7418289460936045,0.7981573003157871,0.5490683229813664,0.7194140519034271,0.6228032408313436,11059,0.5737020577199745,0.6678683333618003,0.43896187119512975,0.3682795698924731,0.4005262388539687,3720,0.38377318480511424,0.7957136944827317,False
22,xgboost_learning_rate_0.05_max_depth_6_n_estimators_1000,0.05,6,1000,0.42,0.35,24596,0.5580918714031328,0.015157297729107063,0.7457577431953609,0,0.5858676207513417,0.5377513930156538,0.5576335009674617,0.5377513930156538,0.5446081686083338,0.5844435349633841,0.5564454988103855,0.7460180962873363,0.6835859475972271,0.5926454110216971,0.6348756001745962,9817,0.7312557367468377,0.7897845892092703,0.5600248004340076,0.6534044669499954,0.6031216092145898,11059,0.5683119101616315,0.6615575442115982,0.42928975487115023,0.3672043010752688,0.3958272964358157,3720,0.36976884952268746,0.7867121554411405,False
23,xgboost_learning_rate_0.005_max_depth_10_n_estimators_2000,0.005,10,2000,0.36,0.35,24596,0.5644426433976386,0.01613727573516359,0.751335396047873,0,0.5856643356643356,0.536185580211033,0.5698848791709418,0.536185580211033,0.5437306485725987,0.5831960586765478,0.5640108791970023,0.7522556369682266,0.7292949076664801,0.5310176224915962,0.61455938697318,9817,0.7407113289773133,0.7961397788198503,0.547986530096815,0.706302559001718,0.6171532414174535,11059,0.5716493504105224,0.6661463513045126,0.43237319974953037,0.3712365591397849,0.3994793173271623,3720,0.3796719582031714,0.7944807807803169,False
24,xgboost_learning_rate_0.3_max_depth_3_n_estimators_500,0.3,3,500,0.42,0.35,24596,0.5572818475830977,0.01318306627371577,0.742387562829287,0,0.580541551471784,0.535743749001938,0.5531731035134804,0.535743749001938,0.5418157749205643,0.5795663705166304,0.5561299325243133,0.742891882715583,0.6748826291079812,0.5857186513191402,0.6271472978131647,9817,0.7287416066826641,0.7880902290107769,0.5568927789934355,0.6443620580522651,0.5974428840913855,11059,0.5667154963325357,0.6579836585094769,0.4277439024390244,0.3771505376344086,0.40085714285714286,3720,0.3729326945577403,0.7826017606264951,False
25,xgboost_learning_rate_0.005_max_depth_6_n_estimators_500,0.005,6,500,0.36,0.35,24596,0.5834349791649013,0.012310884477836933,0.7643790716839941,0,0.5970483005366727,0.5299224487227753,0.5981319449079976,0.5299224487227753,0.5412323122319277,0.5869136267980517,0.583511190132353,0.7652371906387266,0.7654554034922133,0.495670775185902,0.6017064424384815,9817,0.7514041682352219,0.807358960884863,0.5468720409065084,0.7833438828103807,0.6440892193308551,11059,0.5933902422240781,0.6836289174139101,0.48206839032527105,0.310752688172043,0.37790127492644654,3720,0.4057391599377589,0.804723693617407,False
26,xgboost_learning_rate_0.05_max_depth_6_n_estimators_1000,0.05,6,1000,0.36,0.35,24596,0.5580918714031328,0.015157297729107063,0.7457577431953609,0,0.5830622865506586,0.5333302473300116,0.565282638745635,0.5333302473300116,0.5406217980745861,0.5803274090940519,0.5564454988103855,0.7460180962873363,0.7179911699779249,0.5301008454721402,0.6099033108702022,9817,0.7312557367468377,0.7897845892092703,0.54856699138783,0.7026855954426259,0.6161347869177404,11059,0.5683119101616315,0.6615575442115982,0.42928975487115023,0.3672043010752688,0.3958272964358157,3720,0.36976884952268746,0.7867121554411405,False
27,xgboost_learning_rate_0.005_max_depth_10_n_estimators_500,0.005,10,500,0.42,0.35,24596,0.5659174419282198,0.016938964839589416,0.7517275153426238,0,0.5933891689705644,0.5288707913043263,0.5695765616922781,0.5288707913043263,0.5399463902263401,0.5872620880669743,0.5664883695464086,0.7531772751862978,0.6895935153176779,0.5892838952836915,0.6355047786444029,9817,0.7390046035480874,0.7971493632204024,0.5582594798779602,0.6949091237905778,0.6191339375629406,11059,0.575203068670062,0.6687691308285204,0.46087668988119623,0.3024193548387097,0.36520045447167665,3720,0.3852574364210764,0.7936133315099708,False
28,xgboost_learning_rate_0.05_max_depth_3_n_estimators_500,0.05,3,500,0.3,0.35,24596,0.5838017022749078,0.013133423311344997,0.764201727054004,0,0.5822084891852334,0.5359335041264602,0.5987482379675472,0.5359335041264602,0.5398540557981151,0.573019674111377,0.5841930339858455,0.7653467647908389,0.8047938638542665,0.42752368340633595,0.5584087280468334,9817,0.7525891939439296,0.8074089624553168,0.5357896042674606,0.7810832805859481,0.6355910378573268,11059,0.5946695519979309,0.6829112659671043,0.4556612457809144,0.39919354838709675,0.4255624014901848,3720,0.4053203560156762,0.8057200659500955,False
29,xgboost_learning_rate_0.005_max_depth_3_n_estimators_2000,0.005,3,2000,0.3,0.35,24596,0.5902477629299525,0.011604977030317511,0.7680238078997552,0,0.582533745324443,0.5356934388508235,0.6034786858429947,0.5356934388508235,0.5396623783746696,0.5718649436166375,0.5906218595717038,0.769050435124945,0.8093922651933702,0.417846592645411,0.551158884783339,9817,0.7557426975720481,0.8096917552231618,0.534838196610999,0.790577809928565,0.6380354666861271,11059,0.6011662831611141,0.6880250397708683,0.4662055957246149,0.39865591397849465,0.4297927836545428,3720,0.4149565979819489,0.8094345103808046,False
30,xgboost_learning_rate_0.3_max_depth_3_n_estimators_500,0.3,3,500,0.36,0.35,24596,0.5572818475830977,0.01318306627371577,0.742387562829287,0,0.5798910391933648,0.5327904419462115,0.5639985918106661,0.5327904419462115,0.5393044174099663,0.5773908975828521,0.5561299325243133,0.742891882715583,0.718490353471342,0.5197107059183049,0.6031445797375576,9817,0.7287416066826641,0.7880902290107769,0.5457615195216321,0.7015100822859209,0.6139115296351982,11059,0.5667154963325357,0.6579836585094769,0.4277439024390244,0.3771505376344086,0.40085714285714286,3720,0.3729326945577403,0.7826017606264951,False
31,xgboost_learning_rate_0.05_max_depth_6_n_estimators_500,0.05,6,500,0.3,0.35,24596,0.5688412937273186,0.01586055646547118,0.7538301524975526,0,0.5815986339242153,0.5343564454368871,0.5880755198247845,0.5343564454368871,0.5392856320847724,0.5741974678523653,0.5679880115276837,0.7546875373944225,0.7778366914103924,0.44830396251400634,0.5687883683360259,9817,0.7398765855986889,0.7979862804016803,0.5384860456225309,0.7641739759471924,0.6317796135012895,11059,0.5769252323610388,0.6702159763701154,0.44790382244143034,0.39059139784946234,0.4172889144170017,3720,0.38716221662332373,0.7958603554114722,False
32,xgboost_learning_rate_0.05_max_depth_3_n_estimators_1000,0.05,3,1000,0.3,0.35,24596,0.5758151567050411,0.013561812703339953,0.7585641535438825,0,0.5810700926979997,0.5348868424804344,0.5938563277781225,0.5348868424804344,0.5388576792966839,0.572583595509257,0.5758669422222936,0.7596684570954193,0.7951018882034026,0.433228073749618,0.5608598180139787,9817,0.74695439547077,0.8028733385747047,0.5362691054873465,0.7741206257346958,0.6336084076527403,11059,0.5855799142694605,0.6754708770808654,0.4501979896436186,0.39731182795698927,0.42210481222333285,3720,0.39506651692665035,0.8006611556306877,False
33,xgboost_learning_rate_0.05_max_depth_10_n_estimators_500,0.05,10,500,0.42,0.35,24596,0.5576592401076623,0.015322960845510908,0.7449766268053912,0,0.582127175150431,0.5300520205370578,0.5529731721220392,0.5300520205370578,0.5378638954261042,0.5798709947318189,0.5561380302704708,0.7454000900292216,0.6791574537414174,0.5944789650606092,0.6340032590983161,9817,0.7324701418482845,0.7892395483122314,0.5542725173210161,0.6510534406365855,0.5987774959457773,11059,0.5672034151798498,0.6603446276652036,0.42548954530368405,0.3446236559139785,0.3808109312342195,3720,0.368740533783278,0.7866160941102299,False
34,xgboost_learning_rate_0.005_max_depth_6_n_estimators_2000,0.005,6,2000,0.3,0.35,24596,0.5787886940031928,0.015636630083830923,0.7612116280183108,0,0.5809887786631973,0.5330197485526206,0.594348855644614,0.5330197485526206,0.5377240397664842,0.5719433114074244,0.5788071213558023,0.7623933371909496,0.7933868858583971,0.43261688906998064,0.5599208965062623,9817,0.7496412410981267,0.8050903976631204,0.5353139013452914,0.7771950447599241,0.633966439240273,11059,0.5866165431674691,0.6791038320168514,0.4543457797301538,0.38924731182795697,0.4192847835529173,3720,0.40016357980181094,0.802985781892877,False
35,xgboost_learning_rate_0.05_max_depth_10_n_estimators_500,0.05,10,500,0.36,0.35,24596,0.5576592401076623,0.015322960845510908,0.7449766268053912,0,0.5831029435680598,0.5290822896531289,0.5612048178823384,0.5290822896531289,0.537480936653231,0.5800947157081081,0.5561380302704708,0.7454000900292216,0.7099407504937458,0.5492512987674443,0.6193429818515966,9817,0.7324701418482845,0.7892395483122314,0.5481841578495854,0.6933719142779636,0.6122888968738771,11059,0.5672034151798498,0.6603446276652036,0.42548954530368405,0.3446236559139785,0.3808109312342195,3720,0.368740533783278,0.7866160941102299,False
36,xgboost_learning_rate_0.005_max_depth_6_n_estimators_1000,0.005,6,1000,0.3,0.35,24596,0.5828798177423018,0.014325491150844092,0.7639147980587104,0,0.5824524312896406,0.5313404001055849,0.5998670919946062,0.5313404001055849,0.5366171893480859,0.5717467067685529,0.5832118123724772,0.7650242424655939,0.803423735333718,0.42548640114087805,0.5563399041022908,9817,0.7527270546232427,0.8073428910438658,0.5347400611620795,0.790577809928565,0.6379656317268051,11059,0.5921900390390474,0.6827166774958036,0.461437479488021,0.3779569892473118,0.41554603221516184,3720,0.40471834345514146,0.8050131588571123,False
37,xgboost_learning_rate_0.005_max_depth_10_n_estimators_2000,0.005,10,2000,0.3,0.35,24596,0.5644426433976386,0.01613727573516359,0.751335396047873,0,0.5799723532281672,0.5296701578501105,0.578688076939654,0.5296701578501105,0.5358480190532916,0.5741938149009599,0.5640108791970023,0.7522556369682266,0.7658196312904834,0.46969542630131406,0.582270488698068,9817,0.7407113289773133,0.7961397788198503,0.537871399778948,0.7480784881092323,0.6257942511346445,11059,0.5716493504105224,0.6661463513045126,0.43237319974953037,0.3712365591397849,0.3994793173271623,3720,0.3796719582031714,0.7944807807803169,False
38,xgboost_learning_rate_0.05_max_depth_3_n_estimators_500,0.05,3,500,0.42,0.45,24596,0.5838017022749078,0.013133423311344997,0.764201727054004,0,0.6062367864693446,0.5238884195472322,0.5928411074652222,0.5238884195472322,0.5356116071039619,0.5935327072536998,0.5841930339858455,0.7653467647908389,0.7098044039857301,0.5877559335845981,0.6430402318065307,9817,0.7525891939439296,0.8074089624553168,0.5606544022809042,0.74681255086355,0.6404808065141527,11059,0.5946695519979309,0.6829112659671043,0.5080645161290323,0.23709677419354838,0.32331378299120234,3720,0.4053203560156762,0.8057200659500955,False
39,xgboost_learning_rate_0.005_max_depth_3_n_estimators_500,0.005,3,500,0.36,0.35,24596,0.5856904151790537,0.006783304047885999,0.7646802691894066,0,0.5930232558139535,0.5252096985723796,0.603244936386189,0.5252096985723796,0.5355142867244669,0.5803093678409897,0.585267804220579,0.7650229044065839,0.7817651098901099,0.4637873077314862,0.5821878396521961,9817,0.7491157152482008,0.8053291742025422,0.5413341455985379,0.8035084546523193,0.6468661279755406,11059,0.5952525324518789,0.6851908354073639,0.4866355536699194,0.30833333333333335,0.377488892545664,3720,0.4114351649616571,0.8045487036098457,False
40,xgboost_learning_rate_0.05_max_depth_3_n_estimators_2000,0.05,3,2000,0.3,0.35,24596,0.5658213316797458,0.014750770192212832,0.7500238868919773,0,0.578142787445113,0.5309168834396648,0.584617993230892,0.5309168834396648,0.535442489535257,0.5707155286090915,0.5652807034819674,0.7509848421497906,0.7777976084240585,0.4439238056432719,0.5652399481193255,9817,0.7381003908938643,0.7961308530449881,0.5356529482857325,0.7614612532778732,0.6289021657953697,11059,0.5751801849537987,0.6658501935427529,0.4404034229828851,0.3873655913978495,0.41218535469107553,3720,0.38256153459823883,0.7909734798616305,False
41,xgboost_learning_rate_0.005_max_depth_10_n_estimators_1000,0.005,10,1000,0.3,0.35,24596,0.5663059821715671,0.016247170479069917,0.7526721472356049,0,0.57972841112376,0.528316587147902,0.5832924278378585,0.528316587147902,0.5344747993878082,0.5724442727171586,0.5664347295395644,0.7539131093867729,0.7750259785244198,0.45584190689620047,0.5740491309088577,9817,0.7418289460936045,0.7981573003157871,0.5358894337940259,0.760828284655032,0.6288490284005979,11059,0.5737020577199745,0.6678683333618003,0.43896187119512975,0.3682795698924731,0.4005262388539687,3720,0.38377318480511424,0.7957136944827317,False
42,xgboost_learning_rate_0.005_max_depth_10_n_estimators_500,0.005,10,500,0.36,0.35,24596,0.5659174419282198,0.016938964839589416,0.7517275153426238,0,0.5900146365262644,0.5234060918833964,0.5815965523190514,0.5234060918833964,0.5342296143044404,0.5811605040575575,0.5664883695464086,0.7531772751862978,0.7390791027154664,0.510135479270653,0.6036280359187609,9817,0.7390046035480874,0.7971493632204024,0.5448338643604915,0.7576634415408264,0.6338603525228838,11059,0.575203068670062,0.6687691308285204,0.46087668988119623,0.3024193548387097,0.36520045447167665,3720,0.3852574364210764,0.7936133315099708,False
43,xgboost_learning_rate_0.05_max_depth_6_n_estimators_1000,0.05,6,1000,0.3,0.35,24596,0.5580918714031328,0.015157297729107063,0.7457577431953609,0,0.5780614734103107,0.5273806149200064,0.5741635598897762,0.5273806149200064,0.5334078731587716,0.5721338341720943,0.5564454988103855,0.7460180962873363,0.7548650858544562,0.4702047468676785,0.5794627165453176,9817,0.7312557367468377,0.7897845892092703,0.5383358389437218,0.744732796817072,0.6249336064951817,11059,0.5683119101616315,0.6615575442115982,0.42928975487115023,0.3672043010752688,0.3958272964358157,3720,0.36976884952268746,0.7867121554411405,False
44,xgboost_learning_rate_0.005_max_depth_3_n_estimators_1000,0.005,3,1000,0.3,0.35,24596,0.5903085411077817,0.009733900518105663,0.7676784933529054,0,0.5804195804195804,0.5289288548774501,0.6058725545800306,0.5289288548774501,0.5332711375994988,0.5671171852849083,0.5905076408423882,0.7684751024237101,0.8162384378211717,0.4045023938066619,0.5409344775916087,9817,0.754279408481624,0.8087186320959849,0.5316569107633496,0.8048648159869789,0.6403366785367433,11059,0.6008734325276026,0.688051214461912,0.46972231515557045,0.3774193548387097,0.4185422566701446,3720,0.4163700815179378,0.8086554607132336,False
