selection_rank,risk_threshold,conditional_stopped_threshold,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_to_stopped_count,oof_retained_to_stopped_rate,oof_stopped_to_retained_count,oof_stopped_to_retained_rate,oof_severe_error_count,oof_severe_error_rate,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,seed_macro_f1_mean,seed_macro_f1_std,selected
1,0.55,0.4,0.6072125548869735,0.5739557982853781,0.5780125417919568,0.5739557982853781,0.5750628647276997,0.6087844856850605,0.592464793291907,0.7704041686190396,392,0.039930732402974435,258,0.06935483870967742,650,0.026427061310782242,0.7081826401446655,0.6382805337679536,0.6714170908116797,9817,0.7595942751758145,0.5858340318524727,0.6319739578623745,0.6080299273565618,11059,0.6039965237343854,0.4400209533787323,0.45161290322580644,0.44574157601485803,3720,0.4138035809655214,0.5726736691844646,0.0005149978546111371,True
2,0.5,0.4,0.6032688241990568,0.5690987219691572,0.581699733949757,0.5690987219691572,0.5714584233651242,0.6049687531698038,0.592464793291907,0.7704041686190396,394,0.04013446062952022,192,0.05161290322580645,586,0.02382501219710522,0.7322314049586777,0.5866354283385963,0.6513969008030766,9817,0.7595942751758145,0.573077220974363,0.669047834343069,0.6173550271172299,11059,0.6039965237343854,0.4397905759162304,0.45161290322580644,0.44562334217506633,3720,0.4138035809655214,0.5701113279052842,0.00045435003645345626,False
3,0.45,0.4,0.6018864856074159,0.5662587651058475,0.5900780783288542,0.5662587651058475,0.5688393774031196,0.6024362195456187,0.592464793291907,0.7704041686190396,394,0.04013446062952022,149,0.040053763440860216,543,0.022076760448853473,0.7653194263363755,0.5381481104206988,0.6319377990430622,9817,0.7595942751758145,0.5652393310265282,0.7090152816710371,0.6290160843929244,11059,0.6039965237343854,0.4396754776236587,0.45161290322580644,0.44556424877337225,3720,0.4138035809655214,0.5652958983523874,6.931066204029625e-05,False
4,0.55,0.5,0.6159538136282322,0.544519710776899,0.593651819039416,0.544519710776899,0.5569965743484958,0.6082127651127044,0.592464793291907,0.7704041686190396,157,0.01599266578384435,258,0.06935483870967742,415,0.01687266222149943,0.7081826401446655,0.6382805337679536,0.6714170908116797,9817,0.7595942751758145,0.5746246688254342,0.7060312867347861,0.6335862376759849,11059,0.6039965237343854,0.4981481481481482,0.289247311827957,0.3659863945578231,3720,0.4138035809655214,0.5557568115546997,0.0006406749143635892,False
5,0.5,0.5,0.6120100829403154,0.539662634460678,0.5981255111367226,0.539662634460678,0.5528876818845085,0.6036813108401794,0.592464793291907,0.7704041686190396,157,0.01599266578384435,192,0.05161290322580645,349,0.014189299073020004,0.7322314049586777,0.5866354283385963,0.6513969008030766,9817,0.7595942751758145,0.5639969803033422,0.7431051632154806,0.6412797502926258,11059,0.6039965237343854,0.4981481481481482,0.289247311827957,0.3659863945578231,3720,0.4138035809655214,0.5525910940386266,0.0009230053245492986,False
6,0.45,0.5,0.6106684013660758,0.5368528189603606,0.6070182157228289,0.5368528189603606,0.5497743701894647,0.6004644407100556,0.592464793291907,0.7704041686190396,157,0.01599266578384435,149,0.040053763440860216,306,0.012441047324768254,0.7653194263363755,0.5381481104206988,0.6319377990430622,9817,0.7595942751758145,0.5575870726839631,0.7831630346324261,0.6513989169675091,11059,0.6039965237343854,0.4981481481481482,0.289247311827957,0.3659863945578231,3720,0.4138035809655214,0.547335871282278,0.00048608417405986414,False
7,0.55,0.6,0.6153033013498129,0.5079425753018434,0.6091366110669205,0.5079425753018434,0.5079787379023187,0.5899735109248475,0.592464793291907,0.7704041686190396,39,0.003972700417642865,258,0.06935483870967742,297,0.012075134168157423,0.7081826401446655,0.6382805337679536,0.6714170908116797,9817,0.7595942751758145,0.5635399892646269,0.7594719233203725,0.6469976505026384,11059,0.6039965237343854,0.5556872037914692,0.1260752688172043,0.20552147239263804,3720,0.4138035809655214,0.5077443930993213,0.00669220723256581,False
8,0.5,0.6,0.6113595706618963,0.5030854989856225,0.6141323710625791,0.5030854989856225,0.5035815146853179,0.5850531336814033,0.592464793291907,0.7704041686190396,39,0.003972700417642865,192,0.05161290322580645,231,0.009391771019677997,0.7322314049586777,0.5866354283385963,0.6513969008030766,9817,0.7595942751758145,0.5544785044375905,0.796545799801067,0.653826170860239,11059,0.6039965237343854,0.5556872037914692,0.1260752688172043,0.20552147239263804,3720,0.4138035809655214,0.5042470669198944,0.005869784124457014,False
9,0.45,0.6,0.6100178890876565,0.5002756834853052,0.6233731123711408,0.5002756834853052,0.5001649867090383,0.5814272618208127,0.592464793291907,0.7704041686190396,39,0.003972700417642865,149,0.040053763440860216,188,0.007643519271426248,0.7653194263363755,0.5381481104206988,0.6319377990430622,9817,0.7595942751758145,0.5491127069855778,0.8366036712180125,0.6630356886914146,11059,0.6039965237343854,0.5556872037914692,0.1260752688172043,0.20552147239263804,3720,0.4138035809655214,0.4987502810491646,0.006194443777391626,False
