selection_year,requested_k,actual_k,precision_at_k,recall_at_k,lift_at_k,weakened_selected,stopped_selected
2013,500,500,0.914,0.22702434177844014,1.5655598609041232,249,208
2013,1000,1000,0.889,0.4416294088425236,1.5227382016890214,541,348
2013,2000,2000,0.781,0.7759562841530054,1.3377486338797815,1095,467
2014,500,500,0.918,0.18214285714285713,1.5635142857142856,237,222
2014,1000,1000,0.873,0.3464285714285714,1.4868714285714286,514,359
2014,2000,2000,0.8085,0.6416666666666667,1.3770166666666666,1099,518
2015,500,500,0.942,0.13739789964994165,1.488019253208868,224,247
2015,1000,1000,0.916,0.26721120186697783,1.4469486581096849,478,438
2015,2000,2000,0.8805,0.5137106184364061,1.3908714994165692,1099,662
2016,500,500,0.946,0.13907674213466628,1.5431955307262568,231,242
2016,1000,1000,0.913,0.26845045574830934,1.4893631284916202,501,412
2016,2000,2000,0.862,0.5069097324316377,1.4061675977653632,1086,638
2017,500,500,0.934,0.1366695932104185,1.6107878255779926,225,242
2017,1000,1000,0.911,0.26660813579163006,1.5711217442200762,519,392
2017,2000,2000,0.863,0.5051214515657009,1.4883403570383378,1133,593
