version,experiment,decision,macro_f1,delta_macro_f1,macro_pr_auc,weakened_recall,stopped_recall,conditional_stopped_pr_auc,severe_error_rate,retained_to_stopped_count,stopped_to_retained_count,precision_at_1000,seed_macro_f1_std,holdout_2017_macro_f1,bootstrap_ci_low,bootstrap_ci_high,final_test_rows,reason
v05_05_dl,현재 기준 모델,유지,0.5762866218654159,0.0,0.5980200909356773,0.6676010489194322,0.43252688172043013,0.46716465882665487,0.021873475361847455,319,219,0.906,0.0024421844119659197,0.5857948793827453,,,0,비교 기준
v05_05_01_dl,상태 정적 피처 5개,보류,0.5749997134846458,-0.0012869083807700576,0.5983352430311316,0.673207342436025,0.4153225806451613,0.46922812546834225,0.021304277118230606,298,226,0.9066000000000001,0.0013602212906853868,0.5872355958969778,-0.00312212389446,0.000621451808353,0,조건부 stopped PR-AUC와 2017 F1은 올랐지만 pooled Macro F1과 stopped Recall이 하락
v05_05_02_dl,최근 1·3·6개월 shortcut,보류,0.5749490324692146,-0.0013375893962013219,0.5981232894641549,0.6713084365675016,0.42016129032258065,0.4675897068393821,0.02154821922263783,307,223,0.9064,0.00169058069134709,0.5867602814190424,-0.0031080200989995,0.0005371323595339,0,최근 활동 shortcut의 pooled Macro F1과 stopped Recall이 기준보다 낮음
v05_05_03_dl,신규 탐색 중단 신호,제외,0.5744556157459543,-0.0018310061194616312,0.597748784898954,0.6708563161226151,0.41774193548387095,0.4661506790491446,0.021426248170434217,306,221,0.9064,0.0012305953124536174,0.5845455092229798,-0.0038522850413653,0.0002068799769377,0,Macro F1·Macro PR-AUC·조건부 stopped PR-AUC가 모두 하락
v05_05_04_dl,stopped 손실 가중치 1.5,제외,0.5755113400017776,-0.0007752818636382885,0.5960020321859995,0.6668776562076137,0.4303763440860215,0.46642844126867455,0.021832818344446253,320,217,0.906,0.002335468796696128,0.5850035139320194,-0.0018621796432357,0.000338484212786,0,가중치를 높였지만 Macro F1·stopped Recall·조건부 stopped PR-AUC가 모두 개선되지 않음
v05_05_05_dl,weakened 하위유형 보조학습,보류,0.5764585948802098,0.00017197301479388027,0.5980871929264603,0.6676914730084095,0.4303763440860215,0.4669348064823021,0.02191413237924866,317,222,0.9052,0.0012472926679461852,0.5857533890349109,-0.001242855814982,0.0015950587804025,0,Macro F1 상승이 +0.0002에 그치고 95% CI가 0을 포함하며 stopped·운영 지표가 소폭 하락
