selection_year,requested_k,actual_k,precision_at_k,recall_at_k,lift_at_k,weakened_selected,stopped_selected
2013,500,500,0.924,0.22950819672131148,1.5826885245901638,261,201
2013,1000,1000,0.89,0.44212617983109787,1.5244510680576253,546,344
2013,2000,2000,0.7885,0.7834078489816195,1.3505951316443119,1110,467
2014,500,500,0.908,0.18015873015873016,1.5464825396825397,234,220
2014,1000,1000,0.879,0.3488095238095238,1.4970904761904762,517,362
2014,2000,2000,0.8075,0.6408730158730159,1.375313492063492,1089,526
2015,500,500,0.934,0.13623103850641774,1.475382147024504,219,248
2015,1000,1000,0.926,0.2701283547257876,1.46274504084014,486,440
2015,2000,2000,0.8825,0.51487747957993,1.3940307759626602,1095,670
2016,500,500,0.954,0.14025286680388122,1.5562458100558658,221,256
2016,1000,1000,0.916,0.26933254925022054,1.4942569832402235,491,425
2016,2000,2000,0.864,0.5080858571008527,1.4094301675977654,1083,645
2017,500,500,0.932,0.13637693883523558,1.607338601112087,221,245
2017,1000,1000,0.919,0.26894937079309333,1.5849186420836994,506,413
2017,2000,2000,0.8615,0.5042434884401522,1.4857534386889086,1129,594
