selection_rank,stage,model_family,feature_set,feature_count,candidate_name,config_json,weakened_threshold,stopped_threshold,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_pr_auc_mean,seed_macro_pr_auc_std,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,selected
1,v05_04_02_dl,TabularMLP,core56_dl_stable,56,mlp_compact_unweighted,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64], ""learning_rate"": 0.0005, ""name"": ""mlp_compact_unweighted"", ""weight_decay"": 0.0005}",0.42,0.35,0.568112331995042,0.0019291731398740062,0.5884595757507608,0.0008312678472655314,0.603919336477476,0.5654156171161692,0.5799182246623236,0.5654156171161692,0.5697234986558758,0.60460011543955,0.5902482528809423,0.7700383104394345,0.7176140522078556,0.5992665783844352,0.6531223980016653,9817,0.7590918069238436,0.5750292625829106,0.6663351116737499,0.6173242858339616,11059,0.6001079663887281,0.4471113591962043,0.4306451612903226,0.43872381213200057,3720,0.41154498533025535,True
2,v05_04_01_dl,TabularMLP,core56_dl_stable,56,mlp_medium_unweighted_reference,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_unweighted_reference"", ""weight_decay"": 0.0005}",0.42,0.35,0.5679503410396012,0.0009341398506539,0.587346334430392,0.0010678372400291,0.6051797040169133,0.563654201999945,0.5822993144712124,0.563654201999945,0.5692855878206006,0.6052307452069635,0.5893504618127597,0.769163757819344,0.721390572807126,0.5939696444942447,0.6515083798882682,9817,0.7576369356753923,0.5738571100390535,0.6776381227959128,0.6214445642258893,11059,0.5982768624908105,0.451650260567458,0.4193548387096774,0.4349038193476442,3720,0.4121375872720768,False
3,v05_04_01_dl,TabularMLP,core45_filtered_keep_decline,45,mlp_medium_unweighted_reference,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_unweighted_reference"", ""weight_decay"": 0.0005}",0.42,0.35,0.5674666182648007,0.0012387009221797,0.5868747732945064,0.0008812748427213,0.6018864856074159,0.5637368298293013,0.5811467113996033,0.5637368298293013,0.5687103156387702,0.6022941847103184,0.588756234641158,0.7676274655368499,0.718742201147991,0.5867372924518692,0.6460658403903314,9817,0.7545765354729227,0.5699724095646842,0.6724839497242066,0.6169992118471813,11059,0.5972403690173835,0.4547255234861347,0.431989247311828,0.4430658946787979,3720,0.4144517994331677,False
4,v05_04_02_dl,TabularMLP,core45_filtered_keep_decline,45,mlp_compact_unweighted,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64], ""learning_rate"": 0.0005, ""name"": ""mlp_compact_unweighted"", ""weight_decay"": 0.0005}",0.42,0.35,0.5653133234955673,0.0010153027001060788,0.5866312024125598,0.0005428281214267191,0.6005448040331761,0.5622147309602558,0.5781749016618524,0.5622147309602558,0.5671394046606025,0.6010108376069626,0.5881438921502352,0.7674853164157202,0.7124557765035989,0.5948864215137007,0.6483845897635173,9817,0.7548246472078283,0.5698974836905871,0.6635319649154535,0.6131606434092334,11059,0.5976427604305388,0.452171444791371,0.4282258064516129,0.439872980809057,3720,0.4119642688123388,False
5,v05_04_02_dl,TabularMLP,core45_filtered_keep_decline,45,mlp_medium_low_dropout,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.1, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_low_dropout"", ""weight_decay"": 0.0001}",0.42,0.35,0.5610676931107833,0.0007665678640230482,0.5783818083332574,0.0006467432789526298,0.5969669865018702,0.5601782656921234,0.5743426639769494,0.5601782656921234,0.5645623990567316,0.5975747601752637,0.5823069984749434,0.7623609367665029,0.7051282051282052,0.5938677803809718,0.6447332043129665,9817,0.7502185227301583,0.5679699130298519,0.6554842209964734,0.608597095122156,11059,0.5901611693363882,0.44992987377279103,0.4311827956989247,0.4403568977350721,3720,0.4065413033582837,False
6,v05_04_02_dl,TabularMLP,core56_dl_stable,56,mlp_medium_low_dropout,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.1, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_low_dropout"", ""weight_decay"": 0.0001}",0.42,0.35,0.5612357020817226,0.0006458505849712752,0.5769556221474718,0.0006985376726775208,0.6001788908765653,0.5592371740048246,0.5749243731944211,0.5592371740048246,0.56438560432673,0.6003970631163982,0.5815274721481988,0.763503291133801,0.7088030702806428,0.6020169094428033,0.6510603139630956,9817,0.751580485262906,0.5716855690262026,0.6609096663351117,0.6130682771347089,11059,0.5897441048788595,0.4442844802764181,0.41478494623655915,0.42902822188238565,3720,0.40325782630283086,False
