split,decision_policy,actual_state,predicted_state,users
validation_2012,threshold,retained,retained,551
validation_2012,threshold,retained,weakened,178
validation_2012,threshold,retained,stopped,39
validation_2012,threshold,weakened,retained,172
validation_2012,threshold,weakened,weakened,393
validation_2012,threshold,weakened,stopped,226
validation_2012,threshold,stopped,retained,23
validation_2012,threshold,stopped,weakened,92
validation_2012,threshold,stopped,stopped,160
validation_2013,threshold,retained,retained,588
validation_2013,threshold,retained,weakened,257
validation_2013,threshold,retained,stopped,59
validation_2013,threshold,weakened,retained,194
validation_2013,threshold,weakened,weakened,522
validation_2013,threshold,weakened,stopped,341
validation_2013,threshold,stopped,retained,21
validation_2013,threshold,stopped,weakened,114
validation_2013,threshold,stopped,stopped,228
validation_2014,threshold,retained,retained,720
validation_2014,threshold,retained,weakened,301
validation_2014,threshold,retained,stopped,70
validation_2014,threshold,weakened,retained,214
validation_2014,threshold,weakened,weakened,747
validation_2014,threshold,weakened,stopped,404
validation_2014,threshold,stopped,retained,35
validation_2014,threshold,stopped,weakened,153
validation_2014,threshold,stopped,stopped,273
validation_2015,threshold,retained,retained,773
validation_2015,threshold,retained,weakened,397
validation_2015,threshold,retained,stopped,95
validation_2015,threshold,weakened,retained,244
validation_2015,threshold,weakened,weakened,849
validation_2015,threshold,weakened,stopped,598
validation_2015,threshold,stopped,retained,34
validation_2015,threshold,stopped,weakened,181
validation_2015,threshold,stopped,stopped,342
validation_2016,threshold,retained,retained,880
validation_2016,threshold,retained,weakened,460
validation_2016,threshold,retained,stopped,81
validation_2016,threshold,weakened,retained,288
validation_2016,threshold,weakened,weakened,939
validation_2016,threshold,weakened,stopped,549
validation_2016,threshold,stopped,retained,29
validation_2016,threshold,stopped,weakened,153
validation_2016,threshold,stopped,stopped,345
pooled_oof,threshold,retained,retained,3512
pooled_oof,threshold,retained,weakened,1593
pooled_oof,threshold,retained,stopped,344
pooled_oof,threshold,weakened,retained,1112
pooled_oof,threshold,weakened,weakened,3450
pooled_oof,threshold,weakened,stopped,2118
pooled_oof,threshold,stopped,retained,142
pooled_oof,threshold,stopped,weakened,693
pooled_oof,threshold,stopped,stopped,1348
final_test,threshold,retained,retained,1002
final_test,threshold,retained,weakened,450
final_test,threshold,retained,stopped,87
final_test,threshold,weakened,retained,362
final_test,threshold,weakened,weakened,1065
final_test,threshold,weakened,stopped,521
final_test,threshold,stopped,retained,36
final_test,threshold,stopped,weakened,242
final_test,threshold,stopped,stopped,392
