selection_year,target_year,retention_state,retention_state_label,users,year_total,share
2009,2011,0,파워 지위 유지,216,550,0.3927272727272727
2009,2011,1,파워 지위 약화,256,550,0.46545454545454545
2009,2011,2,리뷰 활동 중단,78,550,0.14181818181818182
2010,2012,0,파워 지위 유지,351,996,0.35240963855421686
2010,2012,1,파워 지위 약화,465,996,0.46686746987951805
2010,2012,2,리뷰 활동 중단,180,996,0.18072289156626506
2011,2013,0,파워 지위 유지,639,1586,0.40290037831021436
2011,2013,1,파워 지위 약화,672,1586,0.42370744010088274
2011,2013,2,리뷰 활동 중단,275,1586,0.1733921815889029
2012,2014,0,파워 지위 유지,768,1834,0.4187568157033806
2012,2014,1,파워 지위 약화,791,1834,0.4312977099236641
2012,2014,2,리뷰 활동 중단,275,1834,0.1499454743729553
2013,2015,0,파워 지위 유지,904,2324,0.3889845094664372
2013,2015,1,파워 지위 약화,1057,2324,0.45481927710843373
2013,2015,2,리뷰 활동 중단,363,2324,0.1561962134251291
2014,2016,0,파워 지위 유지,1091,2917,0.37401439835447375
2014,2016,1,파워 지위 약화,1365,2917,0.4679465203976688
2014,2016,2,리뷰 활동 중단,461,2917,0.1580390812478574
2015,2017,0,파워 지위 유지,1265,3513,0.3600910902362653
2015,2017,1,파워 지위 약화,1691,3513,0.4813549672644463
2015,2017,2,리뷰 활동 중단,557,3513,0.15855394249928836
2016,2018,0,파워 지위 유지,1421,3724,0.3815789473684211
2016,2018,1,파워 지위 약화,1776,3724,0.47690655209452204
2016,2018,2,리뷰 활동 중단,527,3724,0.14151450053705691
2017,2019,0,파워 지위 유지,1539,4157,0.3702189078662497
2017,2019,1,파워 지위 약화,1948,4157,0.4686071686312244
2017,2019,2,리뷰 활동 중단,670,4157,0.16117392350252585
