split,actual_state,predicted_state,users
validation_2013,retained,retained,877
validation_2013,retained,weakened,516
validation_2013,retained,stopped,42
validation_2013,weakened,retained,297
validation_2013,weakened,weakened,945
validation_2013,weakened,stopped,243
validation_2013,stopped,retained,45
validation_2013,stopped,weakened,278
validation_2013,stopped,stopped,205
validation_2014,retained,retained,1040
validation_2014,retained,weakened,671
validation_2014,retained,stopped,61
validation_2014,weakened,retained,337
validation_2014,weakened,weakened,1282
validation_2014,weakened,stopped,265
validation_2014,stopped,retained,41
validation_2014,stopped,weakened,341
validation_2014,stopped,stopped,254
validation_2015,retained,retained,1176
validation_2015,retained,weakened,755
validation_2015,retained,stopped,56
validation_2015,weakened,retained,424
validation_2015,weakened,weakened,1800
validation_2015,weakened,stopped,314
validation_2015,stopped,retained,57
validation_2015,stopped,weakened,497
validation_2015,stopped,stopped,336
validation_2016,retained,retained,1169
validation_2016,retained,weakened,918
validation_2016,retained,stopped,60
validation_2016,weakened,retained,382
validation_2016,weakened,weakened,1807
validation_2016,weakened,stopped,339
validation_2016,stopped,retained,55
validation_2016,stopped,weakened,450
validation_2016,stopped,stopped,368
validation_2017,retained,retained,1434
validation_2017,retained,weakened,994
validation_2017,retained,stopped,48
validation_2017,weakened,retained,479
validation_2017,weakened,weakened,1875
validation_2017,weakened,stopped,270
validation_2017,stopped,retained,52
validation_2017,stopped,weakened,421
validation_2017,stopped,stopped,320
pooled_oof,retained,retained,5696
pooled_oof,retained,weakened,3854
pooled_oof,retained,stopped,267
pooled_oof,weakened,retained,1919
pooled_oof,weakened,weakened,7709
pooled_oof,weakened,stopped,1431
pooled_oof,stopped,retained,250
pooled_oof,stopped,weakened,1987
pooled_oof,stopped,stopped,1483
final_test,retained,retained,1500
final_test,retained,weakened,1026
final_test,retained,stopped,58
final_test,weakened,retained,607
final_test,weakened,weakened,2190
final_test,weakened,stopped,268
final_test,stopped,retained,53
final_test,stopped,weakened,502
final_test,stopped,stopped,329
