experiment,split,samples,unique_users,minimum_selection_year,maximum_selection_year,churn_samples,churn_rate_pct
A_전체_학습후보연도,test,4157,4157,2017,2017,670,16.117392350252587
A_전체_학습후보연도,train,13720,8483,2009,2015,2189,15.954810495626823
A_전체_학습후보연도,validation,3724,3724,2016,2016,527,14.151450053705691
B_2013_2015,excluded,4966,3450,2009,2012,808,16.270640354409988
B_2013_2015,test,4157,4157,2017,2017,670,16.117392350252587
B_2013_2015,train,8754,6211,2013,2015,1381,15.77564541923692
B_2013_2015,validation,3724,3724,2016,2016,527,14.151450053705691
