minimum_2017_reviews,minimum_2017_active_months,continuity_rule,candidate_users,churn_users,retained_users,churn_rate_pct
5,3,2018년 리뷰 1건 이상,10649,3167,7482,29.74
5,3,2018년 하반기 리뷰 1건 이상,7964,1674,6290,21.02
5,6,2018년 리뷰 1건 이상,3750,716,3034,19.09
5,6,2018년 하반기 리뷰 1건 이상,3190,417,2773,13.07
10,3,2018년 리뷰 1건 이상,4781,1111,3670,23.24
10,3,2018년 하반기 리뷰 1건 이상,3908,606,3302,15.51
10,6,2018년 리뷰 1건 이상,3210,569,2641,17.73
10,6,2018년 하반기 리뷰 1건 이상,2764,330,2434,11.94
20,3,2018년 리뷰 1건 이상,1727,300,1427,17.37
20,3,2018년 하반기 리뷰 1건 이상,1507,158,1349,10.48
20,6,2018년 리뷰 1건 이상,1500,217,1283,14.47
20,6,2018년 하반기 리뷰 1건 이상,1334,116,1218,8.7
