review_month,review_count,review_month_date
2005-02,2,2005-02-01
2005-03,53,2005-03-01
2005-04,23,2005-04-01
2005-05,68,2005-05-01
2005-06,31,2005-06-01
2005-07,177,2005-07-01
2005-08,50,2005-08-01
2005-09,45,2005-09-01
2005-10,29,2005-10-01
2005-11,58,2005-11-01
2005-12,84,2005-12-01
2006-01,156,2006-01-01
2006-02,136,2006-02-01
2006-03,142,2006-03-01
2006-04,152,2006-04-01
2006-05,154,2006-05-01
2006-06,137,2006-06-01
2006-07,288,2006-07-01
2006-08,338,2006-08-01
2006-09,349,2006-09-01
2006-10,324,2006-10-01
2006-11,317,2006-11-01
2006-12,337,2006-12-01
2007-01,588,2007-01-01
2007-02,964,2007-02-01
2007-03,794,2007-03-01
2007-04,826,2007-04-01
2007-05,671,2007-05-01
2007-06,814,2007-06-01
2007-07,1135,2007-07-01
2007-08,1149,2007-08-01
2007-09,1007,2007-09-01
2007-10,965,2007-10-01
2007-11,986,2007-11-01
2007-12,880,2007-12-01
2008-01,1520,2008-01-01
2008-02,1596,2008-02-01
2008-03,1938,2008-03-01
2008-04,2472,2008-04-01
2008-05,2589,2008-05-01
2008-06,2871,2008-06-01
2008-07,3566,2008-07-01
2008-08,3703,2008-08-01
2008-09,3050,2008-09-01
2008-10,3043,2008-10-01
2008-11,3077,2008-11-01
2008-12,2994,2008-12-01
2009-01,4257,2009-01-01
2009-02,3707,2009-02-01
2009-03,4459,2009-03-01
2009-04,4019,2009-04-01
2009-05,4096,2009-05-01
2009-06,4281,2009-06-01
2009-07,4944,2009-07-01
2009-08,5303,2009-08-01
2009-09,4717,2009-09-01
2009-10,4650,2009-10-01
2009-11,4757,2009-11-01
2009-12,4903,2009-12-01
2010-01,7883,2010-01-01
2010-02,6904,2010-02-01
2010-03,7741,2010-03-01
2010-04,7086,2010-04-01
2010-05,7501,2010-05-01
2010-06,7435,2010-06-01
2010-07,8957,2010-07-01
2010-08,9732,2010-08-01
2010-09,9000,2010-09-01
2010-10,9307,2010-10-01
2010-11,9227,2010-11-01
2010-12,9413,2010-12-01
2011-01,12834,2011-01-01
2011-02,12163,2011-02-01
2011-03,14148,2011-03-01
2011-04,13214,2011-04-01
2011-05,13524,2011-05-01
2011-06,13749,2011-06-01
2011-07,15753,2011-07-01
2011-08,15202,2011-08-01
2011-09,13341,2011-09-01
2011-10,12934,2011-10-01
2011-11,13511,2011-11-01
2011-12,13266,2011-12-01
2012-01,17825,2012-01-01
2012-02,16392,2012-02-01
2012-03,16882,2012-03-01
2012-04,15989,2012-04-01
2012-05,15989,2012-05-01
2012-06,16779,2012-06-01
2012-07,18114,2012-07-01
2012-08,17048,2012-08-01
2012-09,15870,2012-09-01
2012-10,16403,2012-10-01
2012-11,15922,2012-11-01
2012-12,16017,2012-12-01
2013-01,21130,2013-01-01
2013-02,18408,2013-02-01
2013-03,21362,2013-03-01
2013-04,20217,2013-04-01
2013-05,20877,2013-05-01
2013-06,20952,2013-06-01
2013-07,22715,2013-07-01
2013-08,24852,2013-08-01
2013-09,22839,2013-09-01
2013-10,22331,2013-10-01
2013-11,23002,2013-11-01
2013-12,22568,2013-12-01
2014-01,27123,2014-01-01
2014-02,24346,2014-02-01
2014-03,30066,2014-03-01
2014-04,27596,2014-04-01
2014-05,29715,2014-05-01
2014-06,29680,2014-06-01
2014-07,33883,2014-07-01
2014-08,34033,2014-08-01
2014-09,29561,2014-09-01
2014-10,30115,2014-10-01
2014-11,30032,2014-11-01
2014-12,30684,2014-12-01
2015-01,37790,2015-01-01
2015-02,34770,2015-02-01
2015-03,39923,2015-03-01
2015-04,37767,2015-04-01
2015-05,39963,2015-05-01
2015-06,40328,2015-06-01
2015-07,44301,2015-07-01
2015-08,44621,2015-08-01
2015-09,38538,2015-09-01
2015-10,39569,2015-10-01
2015-11,37504,2015-11-01
2015-12,36831,2015-12-01
2016-01,45086,2016-01-01
2016-02,44347,2016-02-01
2016-03,46117,2016-03-01
2016-04,43083,2016-04-01
2016-05,45779,2016-05-01
2016-06,43494,2016-06-01
2016-07,48063,2016-07-01
2016-08,43820,2016-08-01
2016-09,39153,2016-09-01
2016-10,39269,2016-10-01
2016-11,35746,2016-11-01
2016-12,37260,2016-12-01
2017-01,43680,2017-01-01
2017-02,41853,2017-02-01
2017-03,47540,2017-03-01
2017-04,47403,2017-04-01
2017-05,49720,2017-05-01
2017-06,49525,2017-06-01
2017-07,52618,2017-07-01
2017-08,48006,2017-08-01
2017-09,43291,2017-09-01
2017-10,45149,2017-10-01
2017-11,41573,2017-11-01
2017-12,42089,2017-12-01
2018-01,47689,2018-01-01
2018-02,46267,2018-02-01
2018-03,55567,2018-03-01
2018-04,53391,2018-04-01
2018-05,53274,2018-05-01
2018-06,54394,2018-06-01
2018-07,60065,2018-07-01
2018-08,53033,2018-08-01
2018-09,48001,2018-09-01
2018-10,47517,2018-10-01
2018-11,44002,2018-11-01
2018-12,47494,2018-12-01
2019-01,50556,2019-01-01
2019-02,48902,2019-02-01
2019-03,57867,2019-03-01
2019-04,51435,2019-04-01
2019-05,53657,2019-05-01
2019-06,54885,2019-06-01
2019-07,55272,2019-07-01
2019-08,54430,2019-08-01
2019-09,48680,2019-09-01
2019-10,46798,2019-10-01
2019-11,42658,2019-11-01
2019-12,43128,2019-12-01
2020-01,45411,2020-01-01
2020-02,45864,2020-02-01
2020-03,29774,2020-03-01
2020-04,13531,2020-04-01
2020-05,19733,2020-05-01
2020-06,25301,2020-06-01
2020-07,29284,2020-07-01
2020-08,32080,2020-08-01
2020-09,31098,2020-09-01
2020-10,31763,2020-10-01
2020-11,27534,2020-11-01
2020-12,26938,2020-12-01
2021-01,29889,2021-01-01
2021-02,28386,2021-02-01
2021-03,35862,2021-03-01
2021-04,35528,2021-04-01
2021-05,38287,2021-05-01
2021-06,38620,2021-06-01
2021-07,40147,2021-07-01
2021-08,37055,2021-08-01
2021-09,30045,2021-09-01
2021-10,32678,2021-10-01
2021-11,30190,2021-11-01
2021-12,32360,2021-12-01
2022-01,20699,2022-01-01
