split,target_rate,target_users,status_loss_captured,status_loss_precision,status_loss_recall,status_loss_lift,stopped_captured,stopped_recall,weakened_captured,weakened_recall
final_test,0.1,654,604,0.9235474006116208,0.15295011395289948,1.5278640587986119,298,0.33710407239819007,306,0.09983686786296901
final_test,0.2,1307,1164,0.8905891354246366,0.2947581666244619,1.4733397877257917,481,0.5441176470588235,683,0.22283849918433932
final_test,0.3,1960,1690,0.8622448979591837,0.4279564446695366,1.4264487005235116,610,0.6900452488687783,1080,0.3523654159869494
