selection_rank,stage,model_family,feature_set,feature_count,candidate_name,config_json,weakened_threshold,stopped_threshold,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_pr_auc_mean,seed_macro_pr_auc_std,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,selected
1,v05_04_01_dl,TabularMLP,core56_dl_stable,56,mlp_medium_unweighted_reference,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_unweighted_reference"", ""weight_decay"": 0.0005}",0.42,0.35,0.5679503410396012,0.0009341398506539221,0.587346334430392,0.0010678372400291364,0.6051797040169133,0.563654201999945,0.5822993144712124,0.563654201999945,0.5692855878206006,0.6052307452069635,0.5893504618127597,0.769163757819344,0.721390572807126,0.5939696444942447,0.6515083798882682,9817,0.7576369356753923,0.5738571100390535,0.6776381227959128,0.6214445642258893,11059,0.5982768624908105,0.451650260567458,0.41935483870967744,0.43490381934764427,3720,0.4121375872720768,True
2,v05_04_01_dl,TabularMLP,core45_filtered_keep_decline,45,mlp_medium_unweighted_reference,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_unweighted_reference"", ""weight_decay"": 0.0005}",0.42,0.35,0.5674666182648007,0.0012387009221797773,0.5868747732945064,0.0008812748427213143,0.6018864856074159,0.5637368298293013,0.5811467113996033,0.5637368298293013,0.5687103156387702,0.6022941847103184,0.588756234641158,0.7676274655368499,0.718742201147991,0.5867372924518692,0.6460658403903314,9817,0.7545765354729227,0.5699724095646842,0.6724839497242066,0.6169992118471813,11059,0.5972403690173835,0.4547255234861347,0.431989247311828,0.4430658946787979,3720,0.4144517994331677,False
3,v05_04_01_dl,TabularMLP,core52_all_supplied,52,mlp_medium_unweighted_reference,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_unweighted_reference"", ""weight_decay"": 0.0005}",0.42,0.35,0.5663887388323516,0.00073881949450667,0.5855084017812335,0.0009321425771693818,0.6019271426248171,0.5627385592561015,0.580575783617159,0.5627385592561015,0.5679094277871529,0.602253045485724,0.5874809294235297,0.7669323021980906,0.7192173479561316,0.587857797697871,0.6469368308951292,9817,0.7540026611457453,0.5700612557427259,0.673207342436025,0.6173556117583647,11059,0.5963947481021935,0.45244874715261957,0.4271505376344086,0.4394358407079646,3720,0.4120453790226503,False
4,v05_04_01_dl,TabularMLP,core43,43,mlp_medium_unweighted_reference,"{""batch_size"": 512, ""class_weighted_loss"": false, ""dropout"": 0.2, ""epochs"": 50, ""hidden_dims"": [128, 64, 32], ""learning_rate"": 0.0007, ""name"": ""mlp_medium_unweighted_reference"", ""weight_decay"": 0.0005}",0.42,0.35,0.5594244582324293,0.0011846414468209925,0.5818146603198202,0.000830651638854935,0.5931858838835583,0.5543619802940187,0.5728438589984702,0.5543619802940187,0.559744226972608,0.5931671280183357,0.5832470379536395,0.7622827553414101,0.7053827900586986,0.5753285117653051,0.6337522441651705,9817,0.7439573092160365,0.5623999390104445,0.6670585043855684,0.6102746525479815,11059,0.595793936221571,0.4507488479262673,0.4206989247311828,0.4352057842046719,3720,0.4099898684233111,False
